ticker,horizon_weeks,train_months,task,feature_set,model,metric,mean_score,std_score,n_folds
XHE,4,3,regression,A_market_only,xgboost,rmse,0.07673482861659668,0.05591803109222992,68
XHE,4,3,regression,B_market_plus_literature,xgboost,rmse,0.07457480020073597,0.056053193546044336,68
XHE,5,1,classification,A_market_only,xgboost,accuracy,0.5183000980712652,0.3350549547496,70
XHE,5,1,classification,B_market_plus_literature,xgboost,accuracy,0.5308118121390433,0.32911190283066716,70
XHE,5,1,regression,A_market_only,random_forest,rmse,0.08290113476907797,0.06447855124702076,69
XHE,5,1,regression,B_market_plus_literature,random_forest,rmse,0.08135533727901734,0.06476810907602643,69
XHE,5,2,classification,A_market_only,xgboost,accuracy,0.5253071413712145,0.28112879601363755,70
XHE,5,2,classification,B_market_plus_literature,lasso,accuracy,0.527036528362125,0.29316724419902673,70
XHE,5,2,regression,A_market_only,xgboost,rmse,0.08821437936996766,0.06527800866486434,69
XHE,5,2,regression,B_market_plus_literature,xgboost,rmse,0.08621925255986859,0.06490662176329659,69
XHE,5,3,classification,A_market_only,xgboost,accuracy,0.5094006784734075,0.2883462071904755,69
XHE,5,3,classification,B_market_plus_literature,xgboost,accuracy,0.5211586852219625,0.29153722859649916,69
XHE,5,3,regression,A_market_only,xgboost,rmse,0.08419305563641735,0.06179636555817415,68
XHE,5,3,regression,B_market_plus_literature,xgboost,rmse,0.07978063967813086,0.06013972753647968,68
XHE,6,1,classification,A_market_only,random_forest,accuracy,0.5482340496368953,0.34222716135183745,69
XHE,6,1,classification,B_market_plus_literature,lasso,accuracy,0.545486848242793,0.3327218541412466,69
XHE,6,1,regression,A_market_only,random_forest,rmse,0.08780940382547849,0.07234574117389782,68
XHE,6,1,regression,B_market_plus_literature,random_forest,rmse,0.08749793632258623,0.07247049691397521,68
XHE,6,2,classification,A_market_only,lasso,accuracy,0.4990588690320061,0.3067560049858777,69
XHE,6,2,classification,B_market_plus_literature,lasso,accuracy,0.5196170167068584,0.32236730474875275,69
XHE,6,2,regression,A_market_only,random_forest,rmse,0.08841622175546582,0.06369355427067179,68
XHE,6,2,regression,B_market_plus_literature,random_forest,rmse,0.08867510240320729,0.06925540286839038,68
XHE,6,3,classification,A_market_only,lasso,accuracy,0.5151562528937914,0.3075964566617112,69
XHE,6,3,classification,B_market_plus_literature,lasso,accuracy,0.544435564766875,0.3201514042622977,69
XHE,6,3,regression,A_market_only,random_forest,rmse,0.08606249796299997,0.060235841301934955,68
XHE,6,3,regression,B_market_plus_literature,random_forest,rmse,0.08519708130293316,0.06795550850423147,68
XHE,7,1,classification,A_market_only,xgboost,accuracy,0.54349193571659,0.34206232452766816,69
XHE,7,1,classification,B_market_plus_literature,xgboost,accuracy,0.5426277715253938,0.33725562173175033,69
XHE,7,1,regression,A_market_only,random_forest,rmse,0.09641495523812611,0.07584110121175879,68
XHE,7,1,regression,B_market_plus_literature,xgboost,rmse,0.09669306260678923,0.07467231669429139,68
XHE,7,2,classification,A_market_only,xgboost,accuracy,0.5160476375678843,0.3137565092650956,69
XHE,7,2,classification,B_market_plus_literature,xgboost,accuracy,0.5334010830478843,0.3165570899059075,69
XHE,7,2,regression,A_market_only,random_forest,rmse,0.09288331483811182,0.06328057783009089,68
XHE,7,2,regression,B_market_plus_literature,random_forest,rmse,0.08927799267182314,0.06866952314334673,68
XHE,7,3,classification,A_market_only,lasso,accuracy,0.5335204597964522,0.30223469542651366,69
XHE,7,3,classification,B_market_plus_literature,lasso,accuracy,0.546981713606925,0.32087324824961394,69
XHE,7,3,regression,A_market_only,random_forest,rmse,0.09061324976340589,0.057061025756485834,68
XHE,7,3,regression,B_market_plus_literature,xgboost,rmse,0.08485177761051048,0.06252367320263474,68
XHE,8,1,classification,A_market_only,xgboost,accuracy,0.526267629605606,0.3531194497305101,69
XHE,8,1,classification,B_market_plus_literature,xgboost,accuracy,0.5320835528128335,0.34897869273001064,69
XHE,8,1,regression,A_market_only,random_forest,rmse,0.10201267372153759,0.07999868989650029,67
XHE,8,1,regression,B_market_plus_literature,random_forest,rmse,0.10353040436442344,0.08100537094079908,67
XHE,8,2,classification,A_market_only,random_forest,accuracy,0.5033800130158702,0.3334815086458714,69
XHE,8,2,classification,B_market_plus_literature,lasso,accuracy,0.5516828675917324,0.3193628099465243,69
XHE,8,2,regression,A_market_only,xgboost,rmse,0.10137821762177471,0.07493327184954585,67
XHE,8,2,regression,B_market_plus_literature,random_forest,rmse,0.09799438348608343,0.07362758218268718,67
XHE,8,3,classification,A_market_only,xgboost,accuracy,0.5482132179276742,0.3143977899290435,69
XHE,8,3,classification,B_market_plus_literature,lasso,accuracy,0.5652824491198782,0.3136172944991173,69
XHE,8,3,regression,A_market_only,random_forest,rmse,0.09407183698747294,0.06313513674886682,67
XHE,8,3,regression,B_market_plus_literature,random_forest,rmse,0.09154454207550969,0.06623379263117862,67
