date,daily_pubs,core_count,award_count,funder_count,avg_num_keywords,core_share,award_share,funder_share,daily_pubs_7d_avg,daily_pubs_14d_avg,daily_pubs_30d_avg,core_count_7d_avg,core_count_14d_avg,core_count_30d_avg,award_count_7d_avg,award_count_14d_avg,award_count_30d_avg,funder_count_7d_avg,funder_count_14d_avg,funder_count_30d_avg,avg_num_keywords_7d_avg,avg_num_keywords_14d_avg,avg_num_keywords_30d_avg,daily_pubs_growth_1d,daily_pubs_growth_7d,daily_pubs_growth_14d,daily_pubs_zscore_30d,unique_keywords,keyword_entropy,total_keyword_mentions,top10_keyword_mentions,top10_keyword_concentration,unique_keywords_7d_avg,keyword_entropy_7d_avg,new_keyword_count,new_keyword_share,new_keyword_count_14d_avg,unique_subfields,subfield_entropy,dominant_subfield_share,dominant_subfield_changed,kw_count__artificial-intelligence,kw_count__chemistry,kw_count__composite-material,kw_count__computer-science,kw_count__engineering,kw_count__materials-science,kw_count__medicine,kw_count__nanotechnology,kw_count__organic-chemistry,kw_count__physics,sf_count__2204,sf_count__2741,sf_count__3607
2022-12-04,54,43,27,33,13.12962962962963,0.7962962962962963,0.5,0.6111111111111112,232.0,195.92857142857142,174.8,203.42857142857142,176.92857142857142,159.66666666666666,94.42857142857143,84.35714285714286,78.76666666666667,120.0,105.57142857142857,97.73333333333333,13.31125343439128,13.418471186236866,13.401184182580959,-0.0847457627118644,-0.15625,-0.15625,-1.1960927596085251,389,5.449179070616315,709,168.0,0.23695345557122707,1157.7142857142858,6.093637237922823,0.0,0.0,9.5,2,0.5908422462755826,0.7222222222222222,0,12.0,10.0,21.0,24.0,15.0,32.0,19.0,15.0,4.0,16.0,39,15,0
2022-12-05,273,254,123,148,13.146520146520146,0.9304029304029304,0.45054945054945056,0.5421245421245421,233.42857142857142,199.85714285714286,179.53333333333333,206.28571428571428,179.92857142857142,165.03333333333333,94.14285714285714,86.35714285714286,81.0,119.14285714285714,107.64285714285714,99.8,13.281668859994102,13.391912009284505,13.386475312146898,4.055555555555555,0.03802281368821303,0.2522935779816513,0.9149697498862988,1355,6.289587826446519,3589,736.0,0.20507105043187518,1155.7142857142858,6.091729624914492,23.0,0.016974169741697416,10.571428571428571,2,0.5731335309176455,0.73992673992674,0,48.0,125.0,58.0,72.0,49.0,126.0,81.0,57.0,65.0,55.0,202,71,0
2022-12-06,176,142,72,100,13.397727272727273,0.8068181818181818,0.4090909090909091,0.5681818181818182,231.71428571428572,200.64285714285714,183.43333333333334,200.71428571428572,178.92857142857142,168.06666666666666,91.0,85.14285714285714,82.56666666666666,116.28571428571429,107.21428571428571,102.1,13.251860901994657,13.383524563397058,13.38052384835645,-0.35531135531135527,-0.06382978723404253,0.06666666666666665,-0.07457192675829699,987,6.0873465771329665,2358,471.0,0.19974554707379136,1146.4285714285713,6.084184200224629,2.0,0.002026342451874367,10.0,3,0.7064673769663555,0.5909090909090909,0,49.0,62.0,21.0,63.0,26.0,72.0,79.0,40.0,31.0,28.0,104,71,1
2022-12-07,196,177,95,119,13.03061224489796,0.9030612244897959,0.4846938775510204,0.6071428571428571,218.57142857142858,200.92857142857142,183.8,189.57142857142858,178.35714285714286,168.03333333333333,88.85714285714286,85.28571428571429,82.3,111.71428571428571,107.78571428571429,102.13333333333334,13.230936460789604,13.358925438032626,13.376138851114312,0.11363636363636354,-0.3194444444444444,0.02083333333333326,0.12236051573835544,1102,6.213632658035246,2554,499.0,0.19537979639780736,1092.7142857142858,6.0623999466317295,8.0,0.007259528130671506,10.142857142857142,3,0.5928811828180793,0.7448979591836735,0,32.0,76.0,40.0,53.0,28.0,92.0,58.0,34.0,38.0,48.0,146,49,1
2022-12-08,193,176,87,112,12.839378238341968,0.9119170984455959,0.45077720207253885,0.5803108808290155,162.14285714285714,198.71428571428572,183.73333333333332,144.42857142857142,175.85714285714286,167.6,74.85714285714286,84.21428571428571,82.26666666666667,94.0,106.71428571428571,102.2,13.242975917578983,13.294518781587666,13.364801886409472,-0.015306122448979553,-0.6717687074829932,-0.1383928571428571,0.09294687981841208,1045,6.145267220045917,2478,514.0,0.20742534301856336,913.5714285714286,6.002995725311933,5.0,0.004784688995215311,9.785714285714286,3,0.6134953053217932,0.7253886010362695,0,34.0,77.0,44.0,59.0,30.0,92.0,58.0,45.0,35.0,40.0,140,52,1
2022-12-09,213,201,104,127,13.413145539906104,0.9436619718309859,0.48826291079812206,0.596244131455399,166.28571428571428,202.14285714285714,184.8,149.71428571428572,179.21428571428572,168.5,76.85714285714286,86.42857142857143,82.7,97.0,109.5,102.6,13.277151988497243,13.278574631840698,13.369365301275586,0.10362694300518127,0.15760869565217384,0.290909090909091,0.28246702159868636,1185,6.228003730509583,2857,605.0,0.21176058802940148,932.0,6.011330843345411,10.0,0.008438818565400843,10.142857142857142,2,0.5988830348023548,0.7136150234741784,0,41.0,80.0,43.0,71.0,41.0,108.0,70.0,53.0,47.0,51.0,152,61,0
2022-12-10,95,84,38,50,13.578947368421053,0.8842105263157894,0.4,0.5263157894736842,171.42857142857142,202.42857142857142,181.9,153.85714285714286,179.5,166.03333333333333,78.0,86.5,81.06666666666666,98.42857142857143,109.71428571428571,100.96666666666667,13.219422920063447,13.294025346539533,13.384267942494017,-0.5539906103286385,0.6101694915254237,0.04395604395604402,-0.8592978744667837,628,5.86460075484259,1290,244.0,0.18914728682170542,955.8571428571429,6.039659691089876,6.0,0.009554140127388535,10.357142857142858,3,0.6315058975066891,0.7263157894736842,0,19.0,43.0,16.0,26.0,9.0,41.0,33.0,14.0,19.0,24.0,69,25,1
2022-12-11,49,43,22,27,13.959183673469388,0.8775510204081632,0.4489795918367347,0.5510204081632653,170.71428571428572,201.35714285714286,175.66666666666666,153.85714285714286,178.64285714285714,160.03333333333333,77.28571428571429,85.85714285714286,78.33333333333333,97.57142857142857,108.78571428571429,97.3,13.337930640611985,13.324592037501633,13.407342426524917,-0.4842105263157894,-0.09259259259259256,-0.234375,-1.2257120715906638,410,5.61505558059642,684,133.0,0.19444444444444445,958.8571428571429,6.06335633537275,1.0,0.0024390243902439024,10.142857142857142,3,0.6269057926286188,0.7551020408163265,0,5.0,18.0,13.0,12.0,13.0,25.0,16.0,12.0,7.0,12.0,37,11,1
2022-12-12,201,188,105,121,13.796019900497512,0.9353233830845771,0.5223880597014925,0.6019900497512438,160.42857142857142,196.92857142857142,179.5,144.42857142857142,175.35714285714286,163.56666666666666,74.71428571428571,84.42857142857143,80.7,93.71428571428571,106.42857142857143,99.96666666666667,13.430716319751609,13.356192589872858,13.417597353440724,3.1020408163265305,-0.2637362637362637,-0.23574144486692017,0.21064145774404916,1193,6.263636927518269,2773,566.0,0.20411107104219256,935.7142857142857,6.059649064097284,5.0,0.004191114836546521,9.428571428571429,3,0.6015532170972685,0.736318407960199,0,36.0,76.0,46.0,67.0,37.0,100.0,65.0,45.0,42.0,52.0,148,52,1
2022-12-13,188,175,95,109,13.787234042553191,0.9308510638297872,0.5053191489361702,0.5797872340425532,162.14285714285714,196.92857142857142,183.43333333333334,149.14285714285714,174.92857142857142,167.1,78.0,84.5,82.66666666666667,95.0,105.64285714285714,102.06666666666666,13.486360144012453,13.369110523003554,13.456695631049643,-0.06467661691542292,0.06818181818181812,0.0,0.04565438982283178,1095,6.203932275144905,2592,508.0,0.19598765432098766,951.1428571428571,6.076304163813275,4.0,0.0036529680365296802,9.357142857142858,3,0.7695795099063768,0.6595744680851063,0,33.0,72.0,31.0,64.0,42.0,85.0,73.0,28.0,31.0,49.0,124,56,8
