ticker,horizon_weeks,train_months,task,baseline_best_model,baseline_score,lit_best_model,lit_score,lit_helps
XHE,2,2,regression,random_forest,0.05729384448654441,random_forest,0.055582737208006806,0.001711107278537606
XHE,2,3,classification,xgboost,0.48810032040058915,lasso,0.4656873896949511,-0.022412930705638046
XHE,2,3,regression,random_forest,0.05581362088575353,random_forest,0.05242387730865635,0.0033897435770971762
XHE,3,1,classification,xgboost,0.47147726034453724,random_forest,0.45513801443190127,-0.01633924591263597
XHE,3,1,regression,random_forest,0.0669564277492634,random_forest,0.06799534182720096,-0.001038914077937561
XHE,3,2,classification,lasso,0.47543914133158977,lasso,0.494685068119197,0.019245926787607226
XHE,3,2,regression,xgboost,0.06702710708951937,xgboost,0.0649156646967529,0.0021114423927664633
XHE,3,3,classification,xgboost,0.4812640741453795,xgboost,0.4851751880704224,0.003911113925042953
XHE,3,3,regression,xgboost,0.06615062028712214,xgboost,0.06433272094313633,0.0018178993439858099
XHE,4,1,classification,xgboost,0.5051822101838448,lasso,0.5127263104118287,0.0075441002279839076
XHE,4,1,regression,random_forest,0.07420046477545149,random_forest,0.07356505410202792,0.0006354106734235698
XHE,4,2,classification,xgboost,0.50688248005672,random_forest,0.5073434362303274,0.0004609561736074186
XHE,4,2,regression,xgboost,0.07936600608996543,random_forest,0.07710986952246329,0.0022561365675021344
XHE,4,3,classification,xgboost,0.4883997169988614,lasso,0.518982381772154,0.030582664773292523
XHE,4,3,regression,xgboost,0.07673482861659668,xgboost,0.07457480020073597,0.0021600284158607153
XHE,5,1,classification,xgboost,0.5183000980712652,xgboost,0.5308118121390433,0.012511714067778068
XHE,5,1,regression,random_forest,0.08290113476907797,random_forest,0.08135533727901734,0.0015457974900606325
XHE,5,2,classification,xgboost,0.5253071413712145,lasso,0.527036528362125,0.0017293869909105197
XHE,5,2,regression,xgboost,0.08821437936996766,xgboost,0.08621925255986859,0.001995126810099071
XHE,5,3,classification,xgboost,0.5094006784734075,xgboost,0.5211586852219625,0.011758006748554983
XHE,5,3,regression,xgboost,0.08419305563641735,xgboost,0.07978063967813086,0.004412415958286495
XHE,6,1,classification,random_forest,0.5482340496368953,lasso,0.545486848242793,-0.0027472013941022277
XHE,6,1,regression,random_forest,0.08780940382547849,random_forest,0.08749793632258623,0.00031146750289225145
XHE,6,2,classification,lasso,0.4990588690320061,lasso,0.5196170167068584,0.020558147674852367
XHE,6,2,regression,random_forest,0.08841622175546582,random_forest,0.08867510240320729,-0.00025888064774147457
XHE,6,3,classification,lasso,0.5151562528937914,lasso,0.544435564766875,0.029279311873083635
XHE,6,3,regression,random_forest,0.08606249796299997,random_forest,0.08519708130293316,0.0008654166600668145
XHE,7,1,classification,xgboost,0.54349193571659,xgboost,0.5426277715253938,-0.0008641641911962816
XHE,7,1,regression,random_forest,0.09641495523812611,xgboost,0.09669306260678923,-0.0002781073686631136
XHE,7,2,classification,xgboost,0.5160476375678843,xgboost,0.5334010830478843,0.01735344547999995
XHE,7,2,regression,random_forest,0.09288331483811182,random_forest,0.08927799267182314,0.0036053221662886853
XHE,7,3,classification,lasso,0.5335204597964522,lasso,0.546981713606925,0.013461253810472806
XHE,7,3,regression,random_forest,0.09061324976340589,xgboost,0.08485177761051048,0.005761472152895408
XHE,8,1,classification,xgboost,0.526267629605606,xgboost,0.5320835528128335,0.005815923207227458
XHE,8,1,regression,random_forest,0.10201267372153759,random_forest,0.10353040436442344,-0.0015177306428858506
XHE,8,2,classification,random_forest,0.5033800130158702,lasso,0.5516828675917324,0.04830285457586214
XHE,8,2,regression,xgboost,0.10137821762177471,random_forest,0.09799438348608343,0.00338383413569128
XHE,8,3,classification,xgboost,0.5482132179276742,lasso,0.5652824491198782,0.01706923119220405
XHE,8,3,regression,random_forest,0.09407183698747294,random_forest,0.09154454207550969,0.0025272949119632543
