date,daily_pubs,core_count,award_count,funder_count,avg_num_keywords,core_share,award_share,funder_share,daily_pubs_7d_avg,daily_pubs_14d_avg,daily_pubs_30d_avg,core_count_7d_avg,core_count_14d_avg,core_count_30d_avg,award_count_7d_avg,award_count_14d_avg,award_count_30d_avg,funder_count_7d_avg,funder_count_14d_avg,funder_count_30d_avg,avg_num_keywords_7d_avg,avg_num_keywords_14d_avg,avg_num_keywords_30d_avg,daily_pubs_growth_1d,daily_pubs_growth_7d,daily_pubs_growth_14d,daily_pubs_zscore_30d,unique_keywords,keyword_entropy,total_keyword_mentions,top10_keyword_mentions,top10_keyword_concentration,unique_keywords_7d_avg,keyword_entropy_7d_avg,new_keyword_count,new_keyword_share,new_keyword_count_14d_avg,unique_subfields,subfield_entropy,dominant_subfield_share,dominant_subfield_changed,kw_count__biochemistry,kw_count__biology,kw_count__cancer-research,kw_count__cell-biology,kw_count__chemistry,kw_count__gene,kw_count__genetics,kw_count__internal-medicine,kw_count__medicine,kw_count__pharmacology,sf_count__1306.0,sf_count__1307.0,sf_count__1311.0,sf_count__1312.0,sf_count__1313.0,sf_count__3003.0,sf_count__3004.0,sf_count__3005.0
2021-11-21,36,34,16,19,12.527777777777779,0.9444444444444444,0.4444444444444444,0.5277777777777778,166.71428571428572,155.07142857142858,155.53333333333333,159.0,148.64285714285714,146.9,93.0,88.57142857142857,85.06666666666666,110.57142857142857,106.0,102.2,13.280872634814438,13.339614365491396,13.31570653442248,-0.6363636363636364,0.09090909090909083,-0.09999999999999998,-1.3139724302065097,287,5.265985283503931,451,106.0,0.23503325942350334,978.7142857142857,5.9742294643635905,4.0,0.013937282229965157,8.0,9,1.8959223453593586,0.3333333333333333,0,6.0,22.0,3.0,4.0,14.0,10.0,12.0,11.0,19.0,5.0,4,0,6,12,1,5,3,3
2021-11-22,176,168,96,119,12.954545454545455,0.9545454545454546,0.5454545454545454,0.6761363636363636,159.14285714285714,155.14285714285714,159.9,154.85714285714286,148.64285714285714,151.1,90.0,88.35714285714286,87.43333333333334,108.0,105.07142857142857,105.1,13.240692291140645,13.327796183673215,13.266043234759184,3.8888888888888893,-0.23144104803493448,0.005714285714285783,0.18156071677127422,1043,6.095173402788352,2280,529.0,0.23201754385964912,949.2857142857143,5.964287064914342,3.0,0.0028763183125599234,7.857142857142857,16,1.9205252660686791,0.4772727272727273,0,62.0,114.0,27.0,36.0,81.0,45.0,37.0,40.0,64.0,23.0,12,13,11,84,6,16,14,3
2021-11-23,191,181,103,117,12.806282722513089,0.9476439790575916,0.5392670157068062,0.612565445026178,160.14285714285714,155.71428571428572,165.36666666666667,154.57142857142858,148.92857142857142,156.36666666666667,87.85714285714286,87.78571428571429,90.36666666666666,106.28571428571429,104.28571428571429,108.43333333333334,13.202925226654937,13.25814346635077,13.246005745262703,0.08522727272727271,0.03804347826086962,0.04371584699453557,0.30048993202060503,1040,6.061874490523957,2446,538.0,0.21995094031071136,944.7142857142857,5.964505595043327,3.0,0.0028846153846153848,7.428571428571429,14,1.5307838805782559,0.6073298429319371,0,61.0,120.0,31.0,38.0,76.0,58.0,53.0,32.0,60.0,9.0,10,3,16,116,4,10,16,4
2021-11-24,212,209,117,140,13.117924528301886,0.9858490566037735,0.5518867924528302,0.660377358490566,159.71428571428572,158.42857142857142,165.36666666666667,154.14285714285714,151.92857142857142,156.53333333333333,87.28571428571429,88.78571428571429,90.3,105.42857142857143,105.35714285714286,108.3,13.234389528040255,13.240294068947046,13.249779330168366,0.10994764397905765,-0.013953488372092981,0.21839080459770122,0.5466650388775377,1174,6.122992865643207,2781,666.0,0.23948220064724918,942.0,5.961296540169484,8.0,0.0068143100511073255,7.214285714285714,15,1.6962906972099037,0.5566037735849056,0,80.0,145.0,21.0,43.0,86.0,74.0,73.0,42.0,72.0,30.0,13,10,17,118,8,10,18,3
2021-11-25,208,192,111,140,13.048076923076923,0.9230769230769231,0.5336538461538461,0.6730769230769231,161.57142857142858,159.42857142857142,166.3,154.57142857142858,152.35714285714286,157.06666666666666,86.57142857142857,88.64285714285714,90.7,104.85714285714286,106.14285714285714,109.0,13.140891359542087,13.24188719231852,13.243418931307966,-0.018867924528301883,0.06666666666666665,0.07216494845360821,0.4870769709568491,1169,6.154157386557785,2714,604.0,0.22254974207811348,940.1428571428571,5.958155439535711,12.0,0.010265183917878529,7.5,16,1.8484164574738184,0.4855769230769231,0,72.0,131.0,24.0,36.0,92.0,65.0,54.0,42.0,63.0,25.0,19,8,16,101,7,19,19,4
2021-11-26,184,171,99,117,13.26086956521739,0.9293478260869565,0.5380434782608695,0.6358695652173914,158.0,161.14285714285714,166.23333333333332,149.71428571428572,153.28571428571428,156.86666666666667,83.85714285714286,88.57142857142857,90.53333333333333,101.57142857142857,106.5,108.73333333333333,13.103653997361933,13.23596716126262,13.256594870220232,-0.11538461538461542,-0.11961722488038273,0.1499999999999999,0.20755897074790894,995,5.94047130388235,2440,610.0,0.25,920.8571428571429,5.943458238190971,4.0,0.004020100502512563,6.642857142857143,15,2.0249506084197435,0.4076086956521739,0,81.0,120.0,24.0,33.0,90.0,47.0,39.0,58.0,87.0,31.0,12,12,14,75,6,17,24,4
2021-11-27,112,105,57,72,13.723214285714286,0.9375,0.5089285714285714,0.6428571428571429,159.85714285714286,163.07142857142858,163.06666666666666,151.42857142857142,154.92857142857142,153.66666666666666,85.57142857142857,89.5,88.66666666666667,103.42857142857143,107.21428571428571,106.6,13.062670179592402,13.211995072427085,13.24736867974404,-0.3913043478260869,0.13131313131313127,0.3176470588235294,-0.5952625621567436,723,5.81879136873568,1537,375.0,0.24398178269355889,918.7142857142857,5.922778014519323,3.0,0.004149377593360996,6.857142857142857,14,1.785775615949725,0.5,0,43.0,78.0,23.0,24.0,56.0,35.0,32.0,26.0,41.0,17.0,5,5,13,56,3,11,9,2
2021-11-28,39,37,19,24,13.256410256410257,0.9487179487179487,0.48717948717948717,0.6153846153846154,160.28571428571428,163.5,157.5,151.85714285714286,155.42857142857142,148.5,86.0,89.5,85.23333333333333,104.14285714285714,107.35714285714286,102.83333333333333,13.166760533682757,13.223816584248597,13.24442701515189,-0.6517857142857143,0.08333333333333326,0.18181818181818188,-1.3434444501125038,307,5.330321808142972,517,118.0,0.22823984526112184,921.5714285714286,5.931968946610614,2.0,0.006514657980456026,6.857142857142857,10,1.6267185511623032,0.5384615384615384,0,13.0,26.0,7.0,6.0,15.0,11.0,8.0,9.0,17.0,6.0,2,2,5,21,0,3,1,2
2021-11-29,176,169,102,126,13.488636363636363,0.9602272727272727,0.5795454545454546,0.7159090909090909,160.28571428571428,159.71428571428572,160.1,152.0,153.42857142857142,151.3,86.85714285714286,88.42857142857143,87.26666666666667,105.14285714285714,106.57142857142857,105.16666666666667,13.243059234981457,13.24187576306105,13.254932581014598,3.5128205128205128,0.0,-0.23144104803493448,0.1815873622118111,1037,6.044918469679971,2374,566.0,0.2384161752316765,920.7142857142857,5.924789670452276,9.0,0.008678881388621022,6.428571428571429,14,1.6377669139880782,0.5568181818181818,0,63.0,127.0,29.0,36.0,71.0,64.0,58.0,37.0,63.0,18.0,8,17,19,98,3,9,9,2
2021-11-30,260,224,133,167,12.811538461538461,0.8615384615384616,0.5115384615384615,0.6423076923076924,170.14285714285714,165.14285714285714,166.63333333333333,158.14285714285714,156.35714285714286,157.5,91.14285714285714,89.5,90.93333333333334,112.28571428571429,109.28571428571429,109.86666666666666,13.243810054842225,13.223367640748581,13.225213029732547,0.4772727272727273,0.3612565445026179,0.4130434782608696,1.067546291739664,1316,6.185996311255173,3331,757.0,0.22725908135694986,960.1428571428571,5.942521359128163,11.0,0.008358662613981762,6.928571428571429,16,1.9080409677926298,0.4307692307692308,0,88.0,160.0,17.0,39.0,114.0,75.0,69.0,59.0,106.0,30.0,11,12,34,112,7,25,35,4
